provider_id,provider_lat,provider_lon,skills,rating,acceptance_rate_30d,avg_response_time_min,completed_jobs_90d
P1,18.861663446573512,95.57071488588757,TV repair|Fridge installation|TV installation,4.46,0.84,6.37,224
P2,9.684424752877785,93.11910822747312,TV installation,4.2,0.88,2.58,267
P3,28.937964395737918,95.21802856145675,TV repair,3.0,1.0,19.29,31
P4,8.204922851371805,68.66881032620105,TV repair|Fridge repair|TV installation,4.05,0.76,3.31,197
P5,18.62449345551706,81.22602954229404,TV repair,4.57,0.68,16.4,140
P6,32.938271795353295,87.72891861904561,TV installation,3.9,0.61,28.38,23
P7,31.443523095377373,76.83379930602774,TV repair,3.2,0.87,14.32,273
P8,8.997267112341333,94.37029166028468,TV installation|Fridge repair|Fridge installation,3.52,0.87,10.73,63
P9,23.85459810095511,73.36077921024028,Fridge installation,4.94,0.91,28.31,279
P10,29.090887879836206,77.46968229536922,Fridge repair|TV repair|Fridge installation,4.14,0.81,28.91,222
P11,19.27164140099498,75.86912192144298,Fridge installation|TV installation|Fridge repair,4.66,0.74,9.87,50
P12,16.59193166541839,72.79274123282707,TV installation,3.03,0.77,13.06,145
P13,8.16014139658447,91.6483814251902,TV repair|Fridge installation,4.41,0.89,23.6,270
P14,34.86272547688712,86.8812337395564,TV repair|TV installation,4.83,0.94,14.58,42
P15,9.843192158294686,77.01848732975421,Fridge repair|TV repair,3.65,0.89,19.85,44
P16,21.69423282969653,71.46823313221076,Fridge installation|Fridge repair|TV repair,4.43,0.9,17.72,264
P17,15.425981360078396,69.17257409661451,TV repair|Fridge repair,4.42,0.64,14.3,188
P18,8.911446384915294,86.45590192664963,Fridge repair|Fridge installation,3.63,0.8,27.41,240
P19,19.901104768033264,89.9109830177484,TV repair,3.46,0.63,10.11,95
P20,33.53356733144247,86.10626739588,TV installation,3.59,0.64,14.78,117
P21,13.41053170769504,93.88421095620936,TV repair|Fridge installation,4.08,0.92,27.09,240
P22,34.298024804826866,75.89183523215442,Fridge installation,4.3,0.6,11.87,268
P23,8.20161178540453,82.81167177474941,Fridge installation|Fridge repair,3.83,0.69,5.36,181
P24,15.07964014518545,72.88044022301499,TV installation|Fridge installation,3.44,0.82,13.31,61
P25,15.159405822319435,88.19282391235386,TV installation|Fridge repair,4.42,0.66,29.94,196
P26,25.67736568541701,82.57769167363698,TV repair|Fridge repair,3.1,0.71,27.43,135
